time_s,T_ring_bulk_C,T_steel_bulk_C,T_surface_peak_C,mu_effective,Q_fric_W,wear_rate_m_per_s,wear_depth_m,tau_fric_Nm,phi_rel_dot_rad_per_s
14.5,106.03950633946086,105.90171815924013,236.75125703648195,0.21660294104314126,137.2972763536454,4.491946600878725e-11,4.297172588361948e-10,40.937955857153696,3.353789252026208
15.0,106.07988634355532,105.92184601555672,281.1461647010949,0.290102998142955,86.13099031852055,2.951987130385252e-11,4.4447719448812106e-10,54.82946664901849,1.5708887133605263
15.5,105.98854193017114,105.9279931610523,133.97550103158335,0.2561345789534561,9.739232319801008,1.922491833123338e-12,4.4543844040468275e-10,44.6173308308191,0.21828361621923165
16.0,106.06194503482904,105.94730075629556,336.1738481535769,0.38131931305921296,92.85296226185355,3.782579205145183e-11,4.6435133643040865e-10,72.06935016819125,1.2883835090112332
16.5,106.20301291579757,105.9763528109667,238.20671087492929,0.2187438317829068,136.35304762348454,4.4656065665651e-11,4.866793692632342e-10,41.342584206969384,3.298125897038111
17.0,106.2337056001542,105.99830033350767,281.3974002031407,0.2902644269751499,83.00124638237243,2.848729516700928e-11,5.009230168467388e-10,54.859976698303335,1.5129653962273635
17.5,106.12987582268525,106.00554827139285,118.98684847129839,0.2576549330865601,4.47412107547805,9.447984437708763e-13,5.013954160686242e-10,40.429794105317555,0.1106639589561894
18.0,106.20839700540972,106.02739344577527,347.18934259691895,0.39933044483098395,97.08212371152676,4.1477460240036274e-11,5.221341461886423e-10,75.47345407305596,1.2863082113289035
18.5,106.3320980391075,106.05676500841874,235.37168147074013,0.21383198628453848,128.55284937781775,4.2168054954233883e-11,5.432181736657593e-10,40.41424540777777,3.1808796151140704
19.0,106.36044183540965,106.0799866639534,284.23282314012704,0.2947530020483986,82.74627042668884,2.859548051131055e-11,5.575159139214145e-10,55.70831738714734,1.4853485854121222
19.5,106.25211199245503,106.08824056870037,115.8124863309335,0.2561224620532409,3.326931890289119,6.455162820123068e-13,5.578386720624207e-10,43.71812531789369,0.07609960093433871
20.0,106.3410338328844,106.1126199794112,348.4220227769348,0.40115333086965127,104.75584148627755,4.502744265828772e-11,5.803523933915646e-10,75.81797953436408,1.381675456529378
20.5,106.4728421001558,106.14479859778235,233.91553976998034,0.21118578079288916,136.53704322643378,4.485972952817052e-11,6.027822581556499e-10,39.91411256985605,3.4207711116581185
21.0,106.49378612241891,106.16951891416764,283.2422612946288,0.29289057290595827,83.09487722928499,2.867491811553562e-11,6.171197172134177e-10,55.35631827922611,1.5010911096027224
21.5,106.3897342503802,106.18028767862953,135.9566557406825,0.25456817957081146,10.289046278015986,1.950509743227752e-12,6.180949720850316e-10,46.65390370720187,0.22053987899039812
22.0,106.47114007441067,106.20611577391196,334.975520473248,0.37865548102368796,105.86104780613891,4.299191291155694e-11,6.3959092854081e-10,71.56588591347702,1.4792110298770655
22.5,106.60318281082998,106.24032260329142,238.58144273450688,0.21870167831725051,141.96957438078067,4.663473149872716e-11,6.629082942901737e-10,41.33461720196035,3.43464108273023
23.0,106.63965649626908,106.26883026650081,280.697452653193,0.2884318384386577,98.03168550961449,3.367498003913386e-11,6.797457843097406e-10,54.51361746490631,1.7982971974428843
23.5,106.52222127671779,106.28090990819942,136.7793317666324,0.2564778335983364,10.529226391455184,1.9257111632333664e-12,6.807086398913573e-10,48.4421399992287,0.2173567557424761
24.0,106.5893604205504,106.30740034825152,335.28791657309773,0.3789772504063835,104.79097505695347,4.263322892478972e-11,7.020252543537522e-10,71.62670032680649,1.463015531622014
24.5,106.70390190248209,106.34134579447338,239.3108939683512,0.21974355275012272,138.17604980941124,4.54202092420551e-11,7.247353589747798e-10,41.53153146977319,3.32701552096571
25.0,106.70124086147685,106.36651739865854,281.8610638466227,0.2902580113024472,80.53698942928399,2.774257942014698e-11,7.386066486848533e-10,54.85876413616252,1.468078814706556
25.5,106.56945856488258,106.3764196662707,118.75364762184446,0.25839879741810173,4.239997901313301,7.408655479767868e-13,7.389770814588417e-10,48.83737271202123,0.08681871414982226
26.0,106.61655624865944,106.39965025102305,348.45492440721273,0.4007512830398531,94.54951718202422,4.0692732297319794e-11,7.593234476075016e-10,75.74199249453223,1.248310403094422
26.5,106.72327292265332,106.43100801486874,234.74948761308622,0.21215272907518612,133.86567312639963,4.40539127006465e-11,7.813504039578248e-10,40.09686579521017,3.338557028624186
27.0,106.73150011018625,106.45553509531675,283.5255180867429,0.29296604206089083,87.19023610031562,3.0147289135826475e-11,7.964240485257381e-10,55.37058194950836,1.5746671432823867
27.5,106.61126974116503,106.46554767965112,144.58346506414887,0.2543809169341346,13.214012662230946,2.4760193032049866e-12,7.976620581773406e-10,48.07799330055144,0.27484534513796743
28.0,106.64983931241669,106.48734745258419,329.5916938428485,0.3694377981734447,93.78708320328997,3.73157390167288e-11,8.16319927685705e-10,69.82374385478104,1.343197571851027
28.5,106.76203617039556,106.51861122205545,240.10589792945203,0.22096462233154013,141.14497953004627,4.641474229240024e-11,8.395272988319051e-10,41.76231362066108,3.3797212676506883
