time,h,v
0.628,0.3950241749999989,1.3940009999999923
0.632,0.40054131899999884,1.3547609999999919
0.636,0.4059015029999988,1.3155209999999915
0.64,0.4111047269999987,1.2762809999999911
0.644,0.4161509909999987,1.2370409999999907
0.648,0.4210402949999987,1.1978009999999903
0.652,0.4257726389999987,1.15856099999999
0.656,0.4303480229999987,1.1193209999999896
0.66,0.4347664469999987,1.0800809999999892
0.664,0.43902791099999877,1.0408409999999888
0.668,0.4431324149999987,1.0016009999999884
0.672,0.4470799589999986,0.9623609999999885
0.676,0.45087054299999846,0.9231209999999885
0.68,0.45450416699999835,0.8838809999999886
0.684,0.45798083099999826,0.8446409999999887
0.6880000000000001,0.4613005349999982,0.8054009999999887
0.6920000000000001,0.4644632789999981,0.7661609999999888
0.6960000000000001,0.4674690629999981,0.7269209999999888
0.7000000000000001,0.47031788699999805,0.6876809999999889
0.704,0.47300975099999804,0.6484409999999889
0.708,0.47554465499999804,0.609200999999989
0.712,0.47792259899999806,0.5699609999999891
0.716,0.4801435829999981,0.5307209999999891
0.72,0.48220760699999815,0.4914809999999892
0.724,0.4841146709999981,0.45224099999998923
0.728,0.485864774999998,0.4130009999999893
0.732,0.48745791899999785,0.37376099999998935
0.736,0.48889410299999775,0.3345209999999894
0.74,0.49017332699999766,0.29528099999998947
0.744,0.4912955909999976,0.2560409999999895
0.748,0.49226089499999753,0.21680099999998947
0.752,0.4930692389999975,0.17756099999998942
0.756,0.49372062299999747,0.13832099999998937
0.76,0.49421504699999746,0.09908099999998936
0.764,0.4945525109999975,0.05984099999998936
0.768,0.4947330149999975,0.020600999999989364
0.772,0.49475655899999754,-0.01863900000001064
0.776,0.4946231429999976,-0.05787900000001064
0.78,0.4943327669999975,-0.09711900000001064
0.784,0.4938854309999974,-0.13635900000001067
0.788,0.49328113499999726,-0.17559900000001072
0.792,0.49251987899999716,-0.21483900000001077
0.796,0.4916016629999971,-0.2540790000000108
0.8,0.490526486999997,-0.29331900000001077
0.804,0.48929435099999696,-0.3325590000000107
0.808,0.48790525499999693,-0.37179900000001065
0.812,0.4863591989999969,-0.4110390000000106
0.8160000000000001,0.4846561829999969,-0.45027900000001053
0.8200000000000001,0.4827962069999969,-0.4895190000000105
0.8240000000000001,0.48077927099999695,-0.5287590000000104
0.8280000000000001,0.478605374999997,-0.5679990000000104
0.8320000000000001,0.47627451899999707,-0.6072390000000103
0.836,0.4737867029999969,-0.6464790000000102
0.84,0.4711419269999968,-0.6857190000000102
0.844,0.4683401909999967,-0.7249590000000101
0.848,0.4653814949999966,-0.7641990000000101
0.852,0.4622658389999965,-0.80343900000001
0.856,0.45899322299999645,-0.84267900000001
0.86,0.4555636469999964,-0.8819190000000099
0.864,0.4519771109999964,-0.9211590000000098
0.868,0.44823361499999637,-0.9603990000000098
0.872,0.44433315899999637,-0.9996390000000097
0.876,0.4402757429999964,-1.03887900000001
0.88,0.4360613669999964,-1.0781190000000105
0.884,0.4316900309999965,-1.1173590000000109
0.888,0.42716173499999643,-1.1565990000000113
0.892,0.4224764789999963,-1.1958390000000116
0.896,0.4176342629999962,-1.235079000000012
0.9,0.41263508699999607,-1.2743190000000124
